order_id,delivery_partner_id,delivery_location_latitude,delivery_location_longitude,time_taken_min
4607,INDORES13DEL02,22.765049,75.912471,24.0
B379,BANGRES18DEL02,13.043041,77.813237,33.0
5D6D,BANGRES19DEL01,12.924264,77.6884,26.0
7A6A,COIMBRES13DEL02,11.053669,77.026494,21.0
70A2,CHENRES12DEL01,13.012793,80.289982,30.0
9BB4,HYDRES09DEL03,17.461668,78.438321,26.0
95B4,RANCHIRES15DEL01,23.479746,85.44982,40.0
9EB2,MYSRES15DEL02,12.482058,76.73665,32.0
1102,HYDRES05DEL02,17.563809,78.516744,34.0
CDCD,DEHRES17DEL01,30.397968,78.116106,46.0
D987,KOCRES16DEL01,10.043064,76.347589,23.0
2784,PUNERES13DEL03,18.65245,74.006619,21.0
C8B6,LUDHRES15DEL02,30.919584,75.829346,20.0
DB64,KNPRES14DEL02,26.593504,80.502929,41.0
3AF3,MUMRES15DEL03,19.266269,72.926721,20.0
3AAB,MYSRES01DEL01,12.351072,76.694878,33.0
689B,PUNERES20DEL01,18.702718,73.883572,40.0
6F67,HYDRES14DEL01,17.496228,78.477495,41.0
C9CF,KOLRES15DEL03,22.582672,88.382885,15.0
36B8,PUNERES19DEL02,18.643935,73.995367,36.0
5795,RANCHIRES06DEL02,23.487804,85.455146,26.0
6C6B,COIMBRES13DEL01,11.013669,76.986494,20.0
B816,CHENRES19DEL02,13.116047,80.348114,39.0
539B,MUMRES02DEL01,19.261315,72.902381,34.0
A1B2,CHENRES01DEL01,13.115801,80.360744,15.0
3231,JAPRES16DEL03,26.879596,75.830512,18.0
8BC0,SURRES15DEL03,21.250522,72.861477,38.0
2288,BANGRES09DEL03,13.024179,77.705797,47.0
3C5E,PUNERES04DEL01,18.62421,73.948429,12.0
3E+60,COIMBRES02DEL03,11.052477,77.025667,26.0
BFF,SURRES16DEL02,21.210437,72.824209,22.0
D936,GOARES15DEL02,15.56315,73.83346,21.0
D681,GOARES07DEL01,15.601295,73.789478,25.0
2876,RANCHIRES02DEL01,0.11,0.11,35.0
30C8,PUNERES19DEL02,18.693935,74.045367,30.0
B843,PUNERES02DEL01,18.62144,73.874855,22.0
B3A0,PUNERES18DEL01,18.633481,73.825901,10.0
6531,SURRES08DEL01,21.183343,72.802731,19.0
4BDA,HYDRES17DEL02,17.471976,78.405883,11.0
9D26,BANGRES17DEL02,12.992532,77.628179,11.0
9B18,BANGRES17DEL01,13.042532,77.678179,28.0
5D99,CHENRES11DEL01,13.134181,80.306442,33.0
4F0,MUMRES17DEL02,19.201999,72.988493,33.0
B796,SURRES17DEL03,21.239569,72.862697,52.0
85B4,MUMRES07DEL01,19.201458,72.937808,22.0
C644,KOLRES16DEL02,22.559129,88.385507,16.0
6999,MUMRES02DEL03,19.281315,72.922381,11.0
63B6,BANGRES05DEL03,13.030324,77.705748,25.0
A30B,CHENRES11DEL01,13.104181,80.276442,26.0
3556,SURRES09DEL01,21.185975,72.805503,18.0
5554,RANCHIRES15DEL01,23.409746,85.37982,16.0
