partner_pk,delivery_partner_id,age,partner_rating,vehicle_type
1,INDORES13DEL02,37,4.9,motorcycle 
2,BANGRES18DEL02,34,4.5,scooter 
3,BANGRES19DEL01,23,4.4,motorcycle 
4,COIMBRES13DEL02,38,4.7,motorcycle 
5,CHENRES12DEL01,32,4.6,scooter 
6,HYDRES09DEL03,22,4.8,motorcycle 
7,RANCHIRES15DEL01,33,4.7,scooter 
8,MYSRES15DEL02,35,4.6,motorcycle 
9,HYDRES05DEL02,22,4.8,motorcycle 
10,DEHRES17DEL01,36,4.2,motorcycle 
11,KOCRES16DEL01,21,4.7,motorcycle 
12,PUNERES13DEL03,23,4.7,scooter 
13,LUDHRES15DEL02,34,4.3,motorcycle 
14,KNPRES14DEL02,24,4.7,scooter 
15,MUMRES15DEL03,29,4.5,electric_scooter 
16,MYSRES01DEL01,35,4.0,scooter 
17,PUNERES20DEL01,33,4.2,motorcycle 
18,HYDRES14DEL01,34,4.9,motorcycle 
19,KOLRES15DEL03,21,4.7,motorcycle 
20,PUNERES19DEL02,25,4.1,motorcycle 
21,RANCHIRES06DEL02,31,4.7,electric_scooter 
22,COIMBRES13DEL01,37,5.0,motorcycle 
23,CHENRES19DEL02,33,4.3,scooter 
24,MUMRES02DEL01,25,4.0,motorcycle 
25,CHENRES01DEL01,29,4.5,electric_scooter 
26,JAPRES16DEL03,27,5.0,motorcycle 
27,SURRES15DEL03,35,4.3,scooter 
28,BANGRES09DEL03,32,4.0,motorcycle 
29,PUNERES04DEL01,23,4.8,electric_scooter 
30,COIMBRES02DEL03,31,4.8,motorcycle 
31,SURRES16DEL02,36,4.1,motorcycle 
32,GOARES15DEL02,26,4.3,motorcycle 
33,GOARES07DEL01,38,4.9,scooter 
34,RANCHIRES02DEL01,32,3.5,scooter 
35,PUNERES19DEL02,32,4.6,scooter 
36,PUNERES02DEL01,33,4.9,motorcycle 
37,PUNERES18DEL01,20,4.7,scooter 
38,SURRES08DEL01,20,4.8,scooter 
39,HYDRES17DEL02,35,5.0,scooter 
40,BANGRES17DEL02,26,4.9,scooter 
41,BANGRES17DEL01,22,4.8,motorcycle 
42,CHENRES11DEL01,35,4.3,motorcycle 
43,MUMRES17DEL02,29,4.6,scooter 
44,SURRES17DEL03,37,4.7,motorcycle 
45,MUMRES07DEL01,28,4.6,scooter 
46,KOLRES16DEL02,37,4.9,scooter 
47,MUMRES02DEL03,23,4.9,electric_scooter 
48,BANGRES05DEL03,27,4.9,scooter 
