order_id,order_type,restaurant_latitude,restaurant_longitude
4607,Snack ,22.745049,75.892471
B379,Snack ,12.913041,77.683237
5D6D,Drinks ,12.914264,77.6784
7A6A,Buffet ,11.003669,76.976494
70A2,Snack ,12.972793,80.249982
9BB4,Buffet ,17.431668,78.408321
95B4,Meal ,23.369746,85.33982
9EB2,Meal ,12.352058,76.60665
1102,Buffet ,17.433809,78.386744
CDCD,Snack ,30.327968,78.046106
D987,Meal ,10.003064,76.307589
2784,Drinks ,18.56245,73.916619
C8B6,Buffet ,30.899584,75.809346
DB64,Snack ,26.463504,80.372929
3AF3,Buffet ,19.176269,72.836721
3AAB,Meal ,12.311072,76.654878
689B,Snack ,18.592718,73.773572
6F67,Snack ,17.426228,78.407495
C9CF,Meal ,22.552672,88.352885
36B8,Snack ,18.563934,73.915367
5795,Meal ,23.357804,85.325146
6C6B,Snack ,11.003669,76.976494
B816,Meal ,12.986047,80.218114
539B,Buffet ,19.221315,72.862381
A1B2,Meal ,13.005801,80.250744
3231,Snack ,26.849596,75.800512
8BC0,Drinks ,21.160522,72.771477
2288,Buffet ,12.934179,77.615797
3C5E,Buffet ,18.51421,73.838429
3E+60,Drinks ,11.022477,76.995667
BFF,Drinks ,21.160437,72.774209
D936,Buffet ,15.51315,73.78346
D681,Drinks ,15.561295,73.749478
2876,Snack ,0.0,0.0
30C8,Drinks ,18.563934,73.915367
B843,Snack ,18.55144,73.804855
B3A0,Snack ,18.593481,73.785901
6531,Meal ,21.173343,72.792731
4BDA,Snack ,17.451976,78.385883
9D26,Buffet ,12.972532,77.608179
9B18,Snack ,12.972532,77.608179
5D99,Snack ,13.064181,80.236442
4F0,Drinks ,19.121999,72.908493
B796,Snack ,21.149569,72.772697
85B4,Snack ,19.091458,72.827808
C644,Snack ,22.539129,88.365507
6999,Drinks ,19.221315,72.862381
63B6,Drinks ,12.970324,77.645748
A30B,Drinks ,13.064181,80.236442
3556,Snack ,21.175975,72.795503
5554,Snack ,23.369746,85.33982
25FD,Drinks ,12.914264,77.6784
C1FF,Snack ,0.0,0.0
7AC8,Drinks ,11.003681,76.975525
3DA1,Snack ,21.173343,72.792731
272D,Buffet ,10.96185,76.971082
DDC5,Snack ,27.165108,78.015053
8E6C,Snack ,0.0,0.0
B002,Buffet ,26.88842,75.800689
395B,Snack ,0.0,0.0
8AA2,Drinks ,26.913987,75.752891
B55A,Drinks ,12.3085,76.665808
73CC,Drinks ,21.183434,72.814492
BE80,Buffet ,19.254567,72.848923
1609,Drinks ,18.55144,73.804855
D255,Meal ,25.449659,81.839744
DE72,Meal ,30.372202,78.077151
98AA,Meal ,0.0,0.0
273A,Buffet ,0.0,0.0
A258,Snack ,12.972793,80.249982
8B53,Buffet ,21.157735,72.768778
BBDE,Meal ,21.186438,72.794115
5DED,Buffet ,0.0,0.0
1A70,Buffet ,0.0,0.0
A9F,Drinks ,12.935662,77.61413
4B7F,Buffet ,17.431477,78.40035
C606,Drinks ,0.0,0.0
B962,Buffet ,13.064181,80.236442
633C,Drinks ,12.933298,77.614293
2DC6,Drinks ,22.311358,73.164798
903A,Snack ,12.934365,77.616155
C444,Snack ,0.0,0.0
1FB7,Snack ,13.086438,80.220672
34D7,Meal ,19.254567,72.848923
156B,Buffet ,26.913483,75.803139
56AD,Buffet ,17.411028,78.329645
837C,Meal ,18.516216,73.842527
CBC4,Snack ,15.5696,73.742294
C19E,Buffet ,19.876428,75.364792
1D60,Drinks ,12.939496,77.625999
95FB,Meal ,17.433809,78.386744
8195,Drinks ,23.374878,85.335739
C042,Drinks ,-27.163303,78.057044
6D19,Drinks ,22.74806,75.8934
3.5E+07,Buffet ,26.891191,75.802083
B437,Meal ,21.160437,72.774209
9.7E+04,Drinks ,12.316967,76.603067
A3E0,Drinks ,18.927584,72.832585
4161,Snack ,11.022298,76.998349
1236,Meal ,12.325461,76.632278
2558,Snack ,18.530963,73.828972
3185,Snack ,17.458998,78.500366
3C57,Meal ,19.1813,72.836191
4863,Snack ,11.022477,76.995667
6757,Meal ,22.727021,75.884167
22AD,Buffet ,12.979166,77.640709
9F99,Snack ,18.994237,72.825553
6781,Drinks ,12.284747,76.625861
1B8D,Snack ,21.175975,72.795503
1AEA,Snack ,11.000762,76.981876
1E+42,Drinks ,21.173343,72.792731
DDC8,Meal ,26.479108,80.315042
24AC,Snack ,21.175104,72.804342
3F01,Drinks ,19.176269,72.836721
628C,Snack ,12.975377,77.696664
6C38,Buffet ,23.359194,85.325447
4BEB,Drinks ,12.297954,76.665169
8339,Drinks ,23.359407,85.325055
3EC5,Meal ,23.416792,85.316842
ADB4,Drinks ,26.892312,75.806896
6E+02,Snack ,22.31279,73.170283
2BC0,Snack ,22.761593,75.886362
9.9E+08,Meal ,11.026117,76.944652
39EF,Drinks ,13.064181,80.236442
E264,Drinks ,26.483042,80.317833
BD03,Meal ,11.000762,76.981876
9A29,Snack ,23.359033,85.325347
D0E5,Drinks ,22.569358,88.433452
A480,Drinks ,12.914264,77.6784
B46C,Snack ,19.121999,72.908493
7150,Meal ,21.157729,72.768726
1E+58,Snack ,22.311603,73.165012
4460,Snack ,18.536562,73.896485
977D,Buffet ,22.745536,75.893106
1602,Drinks ,12.933298,77.614293
894E,Drinks ,12.939496,77.625999
5A01,Meal ,0.0,0.0
655,Snack ,17.426228,78.407495
20F6,Buffet ,12.934365,77.616155
3DB1,Snack ,11.003669,76.976494
1EC7,Snack ,18.543626,73.905101
8ED2,Snack ,22.311358,73.164798
64CC,Meal ,12.986047,80.218114
2ED0,Meal ,17.41233,78.449654
4008,Meal ,21.17106,72.789292
7553,Snack ,21.186884,72.793616
35D8,Buffet ,11.026117,76.944652
9832,Snack ,0.0,0.0
4C88,Buffet ,19.065838,72.832658
9693,Drinks ,0.0,0.0
81A5,Buffet ,12.98041,77.640489
AE56,Snack ,11.022477,76.995667
8D18,Buffet ,0.0,0.0
9CBA,Buffet ,0.0,0.0
9B79,Snack ,12.310972,76.659264
596A,Drinks ,11.025083,77.015393
78AA,Meal ,12.316967,76.603067
D7EC,Buffet ,22.538731,88.364878
55B1,Drinks ,11.001753,76.986241
8.7E+05,Meal ,22.310237,73.158921
82C3,Drinks ,23.359033,85.325347
5397,Buffet ,18.593481,73.785901
876B,Buffet ,21.186438,72.794115
3A5A,Snack ,22.725748,75.898497
5.1E+05,Snack ,0.0,0.0
5631,Meal ,17.450851,78.379347
1DAC,Drinks ,13.081878,80.248519
DE01,Snack ,10.035573,76.336958
8771,Drinks ,22.308096,73.167753
3645,Drinks ,12.975996,80.221898
1FF1,Buffet ,12.3085,76.665808
4A3C,Meal ,19.178321,72.834715
6E0D,Meal ,0.0,0.0
6CC6,Snack ,26.910262,75.783013
C141,Meal ,25.443994,81.860187
690F,Snack ,23.359194,85.325447
B4BA,Meal ,17.458998,78.500366
63A9,Buffet ,18.530963,73.828972
88DD,Buffet ,12.321214,76.621094
1B58,Drinks ,26.913483,75.803139
87A8,Meal ,12.3085,76.665808
3F8D,Snack ,19.055831,72.833984
