restaurant_id,restaurant_name,area,cuisines,rating,cost_for_two,online_order
1,Jalsa,Banashankari,"north indian, mughlai, chinese",4.1,800.0,1
2,Spice Elephant,Banashankari,"chinese, north indian, thai",4.1,800.0,1
3,San Churro Cafe,Banashankari,"cafe, mexican, italian",3.8,800.0,1
4,Addhuri Udupi Bhojana,Banashankari,"south indian, north indian",3.7,300.0,0
5,Grand Village,Banashankari,"north indian, rajasthani",3.8,600.0,0
6,Timepass Dinner,Banashankari,north indian,3.8,600.0,1
7,Rosewood International Hotel - Bar & Restaurant,Banashankari,"north indian, south indian, andhra, chinese",3.6,800.0,0
8,Onesta,Banashankari,"pizza, cafe, italian",4.6,600.0,1
9,Penthouse Cafe,Banashankari,"cafe, italian, continental",4.0,700.0,1
10,Smacznego,Banashankari,"cafe, mexican, italian, momos, beverages",4.2,550.0,1
11,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,cafe,4.1,500.0,1
12,Cafe Shuffle,Banashankari,"cafe, italian, continental",4.2,600.0,1
13,The Coffee Shack,Banashankari,"cafe, chinese, continental, italian",4.2,500.0,1
14,Caf-Eleven,Banashankari,"cafe, continental",4.0,450.0,0
15,Cafe Vivacity,Banashankari,cafe,3.8,650.0,1
16,Catch-up-ino,Banashankari,"cafe, fast food, continental, chinese, momos",3.9,800.0,1
17,Kirthi's Biryani,Banashankari,"chinese, cafe, italian",3.8,700.0,1
18,T3H Cafe,Banashankari,"cafe, italian, american",3.9,300.0,0
19,360 Atoms Restaurant And Cafe,Banashankari,"cafe, chinese, continental, italian",3.1,400.0,1
20,The Vintage Cafe,Banashankari,"cafe, french, north indian",3.0,400.0,1
21,Woodee Pizza,Banashankari,"cafe, pizza, fast food, beverages",3.7,500.0,1
22,Cafe Coffee Day,Banashankari,"cafe, fast food",3.6,900.0,0
23,My Tea House,Banashankari,"italian, fast food, cafe, european",3.6,600.0,1
24,Hide Out Cafe,Banashankari,cafe,3.7,300.0,0
25,CAFE NOVA,Banashankari,"cafe, bakery",3.2,600.0,0
26,Coffee Tindi,Banashankari,"cafe, south indian",3.8,200.0,1
27,Sea Green Cafe,Banashankari,"cafe, fast food, beverages",3.3,500.0,0
28,Cuppa,Banashankari,"cafe, fast food",3.3,550.0,0
29,Srinathji's Cafe,Banashankari,"north indian, cafe, chinese, fast food",3.8,550.0,0
30,Redberrys,Banashankari,"cafe, italian",4.0,600.0,1
31,Foodiction,Banashankari,"north indian, fast food, chinese, burger",2.8,500.0,1
32,Sweet Truth,Banashankari,"bakery, desserts",3.9,500.0,1
33,Ovenstory Pizza,Banashankari,pizza,3.9,750.0,1
34,Faasos,Banashankari,"north indian, biryani, fast food",4.2,500.0,1
35,Behrouz Biryani,Banashankari,biryani,3.9,650.0,1
36,Fast And Fresh,Banashankari,"north indian, chinese, fast food",2.8,400.0,1
37,Szechuan Dragon,Banashankari,"chinese, thai, momos",4.2,600.0,1
38,Empire Restaurant,Banashankari,"north indian, mughlai, south indian, chinese",4.4,750.0,1
39,Maruthi Davangere Benne Dosa,Banashankari,south indian,4.0,150.0,1
40,Chaatimes,Banashankari,"street food, fast food",3.8,200.0,1
41,Havyaka Mess,Banashankari,south indian,3.9,300.0,0
42,McDonald's,Banashankari,"burger, fast food",3.9,500.0,1
43,Domino's Pizza,Banashankari,"pizza, fast food",3.9,800.0,1
44,Hotboxit,Banashankari,"north indian, continental, italian",3.8,400.0,0
45,Kitchen Garden,Banashankari,"north indian, chinese",3.6,300.0,1
46,Recipe,Banashankari,"north indian, chinese, biryani, rolls",4.0,450.0,1
47,Beijing Bites,Banashankari,"chinese, thai",3.7,850.0,1
48,Tasty Bytes,Banashankari,"north indian, chinese, momos, rolls",3.1,300.0,1
49,Petoo,Banashankari,north indian,3.7,450.0,0
50,Shree Cool Point,Banashankari,"fast food, street food, beverages",4.1,150.0,1
51,Corner House Ice Cream,Banashankari,"ice cream, desserts",4.3,400.0,0
52,Biryanis And More,Banashankari,"biryani, north indian, chinese, andhra, south indian",4.0,750.0,1
53,Roving Feast,Banashankari,"italian, continental, fast food, chinese, momos",4.0,450.0,0
54,FreshMenu,Banashankari,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",3.9,450.0,1
55,Banashankari Donne Biriyani,Banashankari,"biryani, fast food",3.8,300.0,1
56,Wamama,Banashankari,"asian, korean, indonesian, japanese, chinese, thai, momos",4.2,800.0,1
57,Five Star Chicken,Banashankari,"fast food, burger",3.6,200.0,0
58,XO Belgian Waffle,Banashankari,"desserts, beverages",3.7,400.0,1
59,Peppy Peppers,Banashankari,"italian, north indian, mexican",4.2,800.0,0
60,Goa 0 Km,Banashankari,"goan, seafood, north indian, chinese, biryani",3.6,800.0,1
61,Chinese Kitchen,Banashankari,chinese,3.8,150.0,1
62,1947,Banashankari,"north indian, chinese",4.0,850.0,0
